clade_name	NCBI_tax_id	CA01	CA02	CA03	CA04	CA05	CA06	CA08	CA12	CA13	CA14	CA15	CA16	CA17	CA18	CA19	CA20	CA21	CA22	CA23	CA24	CA25	CA26	CA27	CA28	CA29	CA30	CA31	CA32	CA33	CA34	CA35	CA36	CA37	CA38	CA39	CA40	CA41
s__Bifidobacterium_catenulatum	0	0.04273	0.0	0.12452	0.03668	0.0	0.0	0.22526	0.09418	0.0146	0.01309	0.00049	0.09607	0.0	0.0	0.0	0.0919	0.15391	0.0	0.0	0.0	0.0061	0.0	0.04442	0.40362	0.0	0.38112	0.0	0.0	0.0221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03984
s__Intestinibacter_bartlettii	0	0.04126	0.3697	0.0	0.05257	0.0	0.00608	0.01936	0.29064	0.09261	0.09561	0.00277	0.04172	0.01147	0.0	0.01967	0.0	0.45291	0.0	0.0	0.0	0.0	0.01467	0.00533	0.0	0.06211	0.35552	0.0	0.00304	0.0	0.00953	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_innocuum	0	0.0349	0.20282	0.03502	0.0	0.01581	0.02585	0.0	0.03145	0.00144	0.00581	0.0	0.0	0.0	0.0	0.01356	0.00338	0.37414	0.06826	0.05307	0.35901	0.00425	0.1974	0.00965	0.02312	0.81595	0.00552	0.31231	0.02814	0.01487	0.44291	0.0062	0.00962	0.88738	0.11117	0.0	0.00841	0.0
s__Streptococcus_parasanguinis	0	0.02409	0.0509	0.03584	0.0	0.02639	0.01697	0.01341	0.09679	0.0	0.0	0.0	0.0	0.00037	0.0	0.05898	0.88031	0.11253	0.05666	6.80195	0.07878	2.03594	0.01564	0.11332	0.0	0.05812	0.04554	0.04409	0.05434	0.01071	0.05911	0.02797	0.51479	0.0	0.03426	0.01014	0.01172	0.00467
s__Blautia_coccoides	0	0.02279	0.0	0.0	0.0	0.0	0.00036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06189	0.0	0.48565	0.00205	0.0	0.0	0.0	0.0428	0.0	0.0	0.0	0.0	0.06844	0.0	0.0	0.0	0.0	0.08502	0.07065	0.0	0.0	0.0	0.0
s__Dielma_fastidiosa	0	0.0227	0.00467	0.00364	0.00264	0.04131	0.03477	0.00255	0.01479	0.0	0.0	0.0	0.0	0.0	0.0	0.12099	0.00122	0.0	0.0	0.0	0.0101	0.0	0.0	0.0	0.00714	0.0	0.0	0.0	0.0	0.00207	0.00353	0.0	0.00853	0.00646	0.0	0.0	0.0	0.0
s__Bacteroides_vulgatus	0	0.02206	0.44987	5.1268	2.7733	4.09801	0.31304	24.60987	0.4657	0.19659	0.13259	1.32604	0.1873	1.0429	28.04692	6.0365	0.0	0.06806	1.42493	0.0	0.86363	1.06734	3.75919	0.21978	0.99415	9.21987	1.40757	6.61571	16.25826	1.16352	3.58877	1.19555	0.45544	0.53059	13.92723	1.9058	0.13241	0.00846
s__Clostridium_sp_CAG_58	0	0.02068	0.97074	0.05537	0.2148	0.0	0.57251	0.18417	0.45409	0.0	0.0	0.57767	0.10296	0.05516	0.71505	0.0	0.10397	1.55904	0.78265	0.09086	0.05399	0.26192	2.39651	0.0943	0.46104	0.17871	0.17022	0.0	0.28286	0.11825	0.86303	0.0	0.30472	0.19126	0.22371	0.18766	0.06003	0.00219
s__Blautia_obeum	0	0.01859	5.04008	0.58194	0.03639	0.6972	0.53576	0.03432	0.21158	0.21569	0.18521	0.0	0.09075	0.08553	1.19308	0.0	1.02951	0.0	0.01237	1.63921	0.62583	1.26282	0.03357	0.62417	0.41881	2.29698	0.20723	0.0	0.03235	0.31307	0.0	0.06942	0.0	0.0	0.0	0.16414	1.04386	0.21124
s__Eisenbergiella_massiliensis	0	0.01617	0.72902	0.0	0.0	0.20973	0.11717	0.0	0.0	0.06803	0.07213	0.0	0.0	0.0	0.06498	0.17861	0.0	0.77807	0.0	0.0	0.0	0.0	0.0	0.00531	0.00871	0.0	0.0	0.0	0.0	0.0	0.0	0.00065	0.01063	0.03518	0.0	0.0	0.01995	0.0
s__Ruthenibacterium_lactatiformans	0	0.01575	0.38813	0.02026	0.00466	0.79858	1.44857	0.13497	0.02637	0.43843	0.37846	0.01575	0.06121	0.06214	1.20675	0.28659	0.02603	6.67829	0.23398	0.03082	0.07892	0.05224	6.84612	0.20716	0.25827	1.78851	0.02568	0.67432	0.00631	0.61377	0.10852	0.00926	0.20071	3.20885	0.01517	0.07553	0.25853	0.31906
s__Asaccharobacter_celatus	0	0.01246	0.20565	0.0	0.0	0.09147	0.043	0.0	0.0	0.0	0.0	0.03035	0.19843	0.0	0.08236	0.02244	0.02634	0.0	0.0189	0.0	0.0	0.00377	0.0	0.0181	0.04293	0.0	0.0	0.0	0.0	0.01872	0.0	0.0	0.0	0.00133	0.0	0.05893	0.15084	1.07345
s__Ruminococcus_bromii	0	0.01214	21.76115	2.64356	0.00544	16.25299	31.29105	4.75531	0.06848	13.1125	10.59634	0.0	7.34376	0.0	0.0	0.0	7.99988	0.0	0.0	0.0	13.0936	0.0	0.0	21.79062	12.40686	5.81632	0.00196	0.00258	5.41374	26.30613	0.00343	6.17286	0.00191	0.00155	0.0	9.11286	16.22698	0.31322
s__Butyricicoccus_pullicaecorum	0	0.0109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09311	0.0	0.0	0.0	0.0
s__Enorma_massiliensis	0	0.01089	0.0	0.0	0.0	0.0	0.0	0.0	0.00348	0.0	0.0	0.00044	0.05126	0.00114	0.00409	0.0	0.00071	0.00786	0.00342	0.0	0.0	0.00209	0.00384	0.0	0.00069	0.0	0.0	0.0	0.0	0.0	0.0	0.00207	0.0	0.0	0.0	0.0	0.00902	0.00757
s__Adlercreutzia_equolifaciens	0	0.01047	0.28494	0.0	0.0	0.11903	0.04288	0.0	0.0	0.0	0.0	0.02703	0.19253	0.0	0.13172	0.02366	0.01812	0.0	0.0217	0.0	0.0	0.00236	0.0	0.00547	0.04612	0.0	0.0	0.0	0.0	0.01956	0.0	0.0	0.0	0.0	0.0	0.06137	0.16719	1.08833
s__Bacteroides_plebeius	0	0.01014	0.00772	0.0	0.0	0.0	0.0	0.0	0.34741	0.0	0.0	0.0	0.0	0.14889	0.0	0.0	0.0	8.27436	0.0	0.0	0.0	0.0	0.06368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_sp_HMSC035G02	0	0.00926	0.0	0.0	0.0	0.0	0.0	0.0	0.00258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02475	0.0	0.00208	0.02156	0.00302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00064	0.0	0.00923	0.00518	0.00482	0.0	0.0	0.0
s__Actinomyces_oris	0	0.00826	0.01357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05407	0.0	0.0	0.0	0.0	0.0	0.04053	0.0	0.01462	0.0	0.0	0.0	0.0	0.03003	0.0	0.00403	0.0	0.0	0.0	0.0	0.0	0.0	0.00308	0.0	0.0	0.0
s__Actinomyces_odontolyticus	0	0.00787	0.0	0.0	0.0	0.0	0.0	0.0	0.01401	0.0	0.0	0.0	0.03801	0.0	0.0	0.0	0.0	0.02304	0.00474	0.0227	0.01451	0.02131	0.0	0.0	0.0	0.0	0.0	0.00344	0.0	0.0	0.0	0.0	0.00114	0.0087	0.0	0.0	0.0	0.0
