clade_name	NCBI_tax_id	op146_M1	op147_M1	op151_M1	op152_M1	op153_M1	op155_M1	op157_M1	op158_M1	op159_M1	op160_M1	op161_M1	op162_M1	op163_M1	op164_M1	op167_M1	op168_M1	op174_M1	op175_M1	op176_M1	op177_M1
s__Ruminococcus_torques	0	0.0	12.40436	0.99029	0.0	5.82164	0.0	2.06907	1.61617	0.0	1.8664	0.0	5.85549	0.0	0.0	0.0	0.47372	0.0	0.01353	2.52066	1.81777
s__Enterobacter_cloacae_complex	0	0.0	10.57726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_adolescentis	0	0.0	7.58743	3.95409	2.05728	4.45787	0.0	0.0	0.38182	5.77527	0.28551	0.0	0.0	0.0	1.44659	0.0	31.12386	0.0	2.49488	2.72142	1.24765
s__Dorea_longicatena	0	0.0	5.90696	0.68298	4.92022	4.25489	0.0	3.88462	6.89891	2.87269	6.82875	0.0	0.22628	0.0	4.14784	6.10999	1.36786	0.0	0.49322	3.56363	2.60411
s__Roseburia_faecis	0	0.0	5.85766	0.0	1.02515	0.02312	0.0	0.0	0.21365	0.32542	0.09207	9.75088	0.46747	0.04369	1.0463	0.13322	0.1073	3.21212	1.90235	6.67025	2.97722
s__Fusicatenibacter_saccharivorans	0	0.0	3.80701	0.01982	3.85844	6.11175	1.98743	5.82264	2.97763	2.1927	2.88669	1.59979	10.08367	10.32637	1.87124	6.25453	1.65005	0.0	0.3837	2.18444	2.31963
s__Eubacterium_sp_CAG_180	0	0.0	3.69372	0.0	0.0	0.0	1.15703	0.0	5.08851	7.16157	1.11714	2.73177	0.0	0.0	4.63835	0.0	1.61875	0.0	0.0	0.0	2.52822
s__Roseburia_inulinivorans	0	0.0	1.37111	0.21926	2.8813	4.2835	0.18775	0.14549	1.77172	0.10365	5.13613	0.0	0.01068	0.02638	0.90575	2.18476	0.42002	0.9357	0.26846	2.00917	0.10723
s__Ruminococcus_bicirculans	0	0.0	1.21675	0.0	0.0	0.53606	0.0	0.34125	0.0	0.40326	0.0	4.04074	0.0	0.1727	0.67825	1.05756	0.0	0.0	0.0	0.96297	1.7089
s__Enterococcus_faecalis	0	0.0	1.15575	0.0	0.0	0.0	0.08216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.60469	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_perfringens	0	0.0	1.14702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62757	0.0	0.0
