clade_name	NCBI_tax_id	SAMEA4031752	SAMEA4031753	SAMEA4031754	SAMEA4031755	SAMEA4031756	SAMEA4031758	SAMEA4031759	SAMEA4031760	SAMEA4031761	SAMEA4031762	SAMEA4031763	SAMEA4031764	SAMEA4031765	SAMEA4031766	SAMEA4031767	SAMEA4031768	SAMEA4031769	SAMEA4031770	SAMEA4031771	SAMEA4031772	SAMEA4031773	SAMEA4031774	SAMEA4031775
s__Actinomyces_cardiffensis	0	0.02082	0.0	0.02833	0.0	0.00494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07773	0.0	0.04797	0.05651	0.0	0.0	0.0	0.00397
s__Prevotella_jejuni	0	0.01977	0.99585	0.00727	1.27496	3.0923	1.49636	0.21533	2.92419	0.64728	0.24917	2.25295	0.56533	6.2427	1.0448	4.47342	0.03885	0.52196	0.3593	0.98211	2.17503	0.71495	11.20691	0.64154
s__Peptostreptococcus_stomatis	0	0.01832	0.01266	0.07767	0.15659	0.00342	0.0	0.01493	0.43277	0.15977	0.35209	0.13314	0.0446	0.0844	0.05338	0.33831	0.02264	0.01576	0.01838	0.54571	0.0533	0.01705	0.0023	0.0364
s__Treponema_socranskii	0	0.01726	0.0	0.0867	0.05753	0.01932	0.00035	0.02337	0.00692	0.0	0.0	0.0073	0.0	0.0	0.01126	0.06809	0.03748	0.09075	0.03349	0.36836	0.06186	0.00638	0.01264	0.04346
s__Selenomonas_noxia	0	0.01701	0.05411	0.01526	0.16338	0.02552	0.06777	0.01848	0.07879	0.0	0.01662	0.01694	0.0	0.01685	0.0	0.03109	0.08754	0.0076	0.1581	0.03128	0.20109	0.03371	0.03496	0.07088
s__Kingella_denitrificans	0	0.01671	0.04776	0.06607	0.00582	0.01698	0.00671	0.01857	0.0	0.0	0.00912	0.14952	0.09896	0.0	0.1583	0.0	0.14195	0.12018	0.78274	0.1286	0.03507	0.0	0.08327	0.0004
s__Streptococcus_sanguinis	0	0.01644	0.11804	0.28339	0.0	0.10769	0.16368	0.31431	0.33962	11.09219	0.55079	0.64168	0.30792	0.01346	0.68028	0.00707	0.32109	2.34322	0.48536	0.79614	0.14939	0.68362	0.16062	0.03111
s__Prevotella_oulorum	0	0.01598	0.12783	0.00157	0.38315	0.4439	0.16546	0.03541	0.16156	0.33284	0.0	0.7864	0.03748	0.23865	0.07799	0.28767	0.01715	0.07447	0.24195	0.8814	0.51681	0.04986	0.1268	0.0625
s__Eubacterium_infirmum	0	0.01556	0.05092	0.16196	0.35084	0.0222	0.0	0.05371	0.09108	0.0	0.25756	0.00686	0.00316	0.02911	0.0	0.12156	1.21602	0.06423	0.07042	0.53457	0.12609	0.0055	0.00928	0.02484
s__Prevotella_maculosa	0	0.01533	0.00877	0.01039	0.06497	0.00216	0.004	0.01707	0.0	0.0	0.0	0.24265	0.0	0.00558	0.04974	0.03625	0.04095	0.01403	0.05196	0.34363	0.05103	0.00365	0.00809	0.01812
s__Prevotella_dentalis	0	0.01523	0.0	0.0073	0.00534	0.0	0.0	0.0204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01894	0.0	0.03773	0.11191	0.02972	0.0	0.0	0.00845
s__Eubacterium_brachy	0	0.0146	0.07836	0.01612	0.42047	0.00458	0.00269	0.00957	0.28611	0.04497	0.1123	0.05942	0.07045	0.10769	0.10392	0.04818	0.03765	0.31768	0.03898	0.0	0.21694	0.04217	0.0139	0.03341
s__Oribacterium_parvum	0	0.01443	0.03635	0.07871	0.09107	0.00609	0.01073	0.0332	0.0	0.0	0.0	0.03332	0.0	0.0	0.0	0.03603	0.19487	0.01183	0.02054	0.17762	0.01469	0.03926	0.0	0.39866
s__Campylobacter_gracilis	0	0.01426	0.00433	0.01414	0.06328	0.02923	0.03018	0.01829	0.02347	0.00464	0.02266	0.00638	0.0	0.01244	0.01332	0.00338	0.05882	0.00305	0.11374	0.22719	0.09539	0.01895	0.01859	0.03059
s__Atopobium_rimae	0	0.01346	0.05032	0.09887	0.54723	0.04514	0.2818	0.02815	0.32029	0.0	0.0	0.06195	0.07234	0.25008	0.0	0.09492	0.4987	0.20001	0.16957	0.47408	0.23811	0.02331	0.05116	0.05004
s__Streptococcus_sp_HMSC070B10	0	0.01345	0.0	0.00762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02349	0.0	0.0	0.0	0.0	0.00305
s__Prevotella_sp_oral_taxon_306	0	0.01077	0.17992	0.00488	1.30233	1.45648	1.26836	0.03933	0.20938	0.0	0.0	1.08797	1.59011	4.14759	0.14351	1.80789	0.0632	0.17425	0.87053	0.57437	1.01167	0.27418	10.11256	0.49467
s__Eubacterium_sulci	0	0.01064	1.88702	0.21069	2.73047	0.11851	0.09647	0.10014	0.15303	0.0	0.14309	1.06617	0.02141	0.20297	0.08769	1.7852	5.96541	0.44696	0.10756	0.20474	1.38369	0.75942	0.0	1.38558
s__Prevotella_loescheii	0	0.00918	0.19922	0.08413	0.14862	0.00083	0.00917	0.04832	0.01026	0.0	0.03912	0.04444	0.0354	0.0	0.03968	0.13549	0.0122	0.03928	0.04837	0.06498	0.14586	0.00551	0.01377	0.04979
s__Neisseria_macacae	0	0.0088	0.12155	0.41865	0.21343	0.07255	0.0	0.03271	0.0	0.0	0.0	0.09021	0.03443	0.0	0.0	0.15838	0.07014	0.15716	0.55134	0.00884	0.04248	0.0	0.03876	0.05743
s__Peptostreptococcaceae_bacterium_oral_taxon_113	0	0.00858	0.0	0.03089	0.00471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04686	0.0	0.0	0.0263	0.0	0.0	0.0	0.01746
s__Actinomyces_sp_oral_taxon_897	0	0.00804	0.0	0.0	0.0	0.00358	0.00255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00822	0.0	0.00591	0.08733	0.00905	0.02072	0.00117	0.01043
