clade_name	NCBI_tax_id	MMPD11819740ST	MMPD13674240ST	MMPD13967032ST	MMPD15187820ST	MMPD15249256ST	MMPD15431352ST	MMPD16704201ST	MMPD17122405ST	MMPD17444064ST	MMPD18335439ST	MMPD19218411ST	MMPD19359459ST	MMPD19623701ST	MMPD20413160ST	MMPD21946553ST	MMPD23066988ST	MMPD23212378ST	MMPD24188488ST	MMPD25043039ST	MMPD27078321ST	MMPD27380896ST	MMPD27744413ST	MMPD29762767ST	MMPD29951127ST	MMPD30531062ST	MMPD33788863ST	MMPD33826006ST	MMPD34227989ST	MMPD34845324ST	MMPD36816868ST	MMPD37460080ST	MMPD37940420ST	MMPD39823498ST	MMPD41403504ST	MMPD44276157ST	MMPD44591718ST	MMPD45281271ST	MMPD45969642ST	MMPD47465864ST	MMPD50836218ST	MMPD52850328ST	MMPD54490160ST	MMPD56131850ST	MMPD58315584ST	MMPD59466593ST	MMPD60018995ST	MMPD65722427ST	MMPD69225512ST	MMPD76778172ST	MMPD78206795ST	MMPD79688031ST	MMPD79900020ST	MMPD89180418ST	MMPD91172559ST	MMPD91702294ST	MMPD91893113ST	MMPD93172239ST	MMPD94895988ST	MMPD97202411ST
s__Clostridium_sp_CAG_253	0	0.0	0.03589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_ventriosum	0	0.0	0.03319	0.68569	0.0	0.05334	0.0	0.0	0.00528	0.0	0.0	0.0	0.66694	1.09831	0.00358	0.15515	0.00057	0.1892	0.01339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03793	0.05482	0.0	0.0	0.0	0.88299	0.0	0.05505	0.0	0.32307	0.04679	0.25471	0.10029	0.0418	0.0	0.0	0.0	0.04125	0.0	0.1803	0.03964	0.36908	0.0	0.0	0.13122	0.0	0.0	0.0	0.02115	0.10209	0.0	0.0	0.0
s__Firmicutes_bacterium_CAG_238	0	0.0	0.03158	0.0	0.0	0.0	0.0	0.0	0.03601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52702	0.20838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14734	0.0	1.0178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1861
s__Alistipes_finegoldii	0	0.0	0.02688	0.15113	0.23179	0.32998	0.52344	3.03429	0.05482	0.0	0.0	0.6407	0.21542	0.0	1.52176	0.2706	0.42524	1.24392	0.78886	2.02007	0.06779	2.71194	4.71819	0.34813	0.61205	2.06555	3.3998	0.08766	0.02148	0.04753	0.85589	0.32596	3.05423	0.20191	0.33422	0.10341	0.0	33.43601	0.0622	0.05327	0.00193	0.83843	0.0	0.39891	1.16848	0.06993	0.50997	0.73716	0.96812	0.03754	0.08261	0.13087	0.11404	0.0	4.14553	0.0	3.87822	0.02748	2.7547	0.0
s__Coprococcus_catus	0	0.0	0.01539	0.88508	0.3916	0.04974	0.0	0.0	0.20421	0.01093	0.0438	0.13395	0.06041	0.0234	0.0	0.0	0.12057	0.00684	0.06011	0.0	0.0	0.0	0.0	0.0	0.16418	0.0	0.0	1.20917	0.16551	0.0	0.98962	0.0	0.28714	0.30531	0.45802	0.05238	0.0	0.0	0.30351	0.02134	0.3688	0.0	0.0	0.28276	0.0	0.07446	0.0	0.0	0.15045	0.0	0.18893	0.24223	0.0	0.29433	0.14386	0.12202	0.09955	0.20008	0.0	0.23031
s__Eubacterium_hallii	0	0.0	0.01269	0.48522	0.55988	1.01205	0.23403	0.0	0.72789	0.03089	1.69101	0.37005	0.71188	1.8732	0.4516	0.04676	0.31549	0.17519	0.6907	0.0	0.13802	0.0	0.0	0.00406	0.06561	0.12806	0.30714	1.25127	0.2914	1.47513	0.68858	0.08303	0.50212	0.03448	0.28034	0.0	8.83289	0.1938	0.2341	0.16626	0.38754	0.0	0.1061	0.01731	0.19814	0.31141	1.31426	0.17132	0.0	0.21135	0.10892	0.64048	1.06417	0.1881	0.17727	0.4535	0.51636	0.0152	0.03389	0.20392
s__Alistipes_putredinis	0	0.0	0.01085	0.0	0.0	3.34818	8.47339	0.18944	6.56214	8.89774	1.88036	7.67079	0.0	0.06062	0.20807	3.53959	0.03136	3.69918	6.86265	10.45799	12.45728	8.21858	0.01098	4.12638	2.32788	15.66889	4.48273	3.93781	6.92928	1.54417	4.74018	11.9145	7.33733	3.69756	6.76311	12.0864	0.0	0.0877	3.5582	8.06426	2.99852	6.06521	13.11823	1.60652	3.22995	5.02799	5.61565	4.91183	5.04446	1.40167	2.43852	5.83122	5.14149	0.0	18.25683	0.12653	5.98467	0.0	6.64323	0.05864
s__Bacteroides_fragilis	0	0.0	0.00971	0.0	0.0	0.0	0.22038	0.0	0.11596	0.0	0.0	0.0	0.0	0.0	0.0	0.16716	0.40351	0.0	0.0	0.85904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00972	0.0	0.0	3.02686	0.0	0.0	0.16539	0.0	0.0	0.0	0.02856	0.29141	0.0	0.0	0.0	0.0	1.78935	0.00782	0.0	0.65063	1.1163	0.0	0.0	0.08373	0.0	0.0	1.67677	0.0	0.0	0.19411	0.04464	0.0
s__Bacteroides_cellulosilyticus	0	0.0	0.0065	0.0	0.37028	1.38555	0.4601	0.32694	0.0	0.0	0.4122	0.52029	0.0	0.0	1.88383	0.3071	0.28309	0.0	2.11525	0.0	0.0	0.0	4.8755	0.49411	0.19296	2.1344	0.25878	0.75062	0.09077	0.0	0.0	0.0	0.0	2.04518	0.0	0.23693	0.01396	0.0	0.22634	5.61508	0.85805	3.97609	0.0	0.06158	4.3017	0.0	0.865	2.14617	0.55223	0.00562	0.05966	1.8483	0.80984	0.04843	0.33992	0.04149	1.33636	0.0	0.0	0.02559
s__Veillonella_sp_T11011_6	0	0.0	0.00534	0.0	0.0	0.0	0.0	0.0	0.00146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
