clade_name	NCBI_tax_id	Ahn.Mel01	Ahn.Mel04	Ahn.Mel07	Ahn.Mel10	Ahn.Mel13	Ahn.Mel16	Ahn.Mel19	Ahn.Mel22	Ahn.Mel25	Ahn.Mel26	Ahn.Mel27	Ahn.Mel28	Ahn.Mel29	Ahn.Mel30	Ahn.Mel31	Ahn.Mel32	Ahn.Mel34	Ahn.Mel35	Ahn.Mel37	Ahn.Mel38	Ahn.Mel40	Ahn.Mel42	Ahn.Mel43	Ahn.Mel44	Ahn.Mel45	Ahn.Mel46	Ahn.Mel47
s__Oscillibacter_sp_CAG_241	0	0.00635	0.00519	0.46796	0.02489	0.0	0.0	0.00059	0.57404	0.0	0.0	0.06868	0.0	0.41928	0.0	0.16439	0.0	0.0	0.0	0.0	0.17047	0.0652	0.24589	0.00116	0.00187	0.01654	3.29525	0.01085
s__Escherichia_coli	0	0.00621	1.05978	0.22828	7.27149	0.0	0.03132	0.6832	0.04536	0.01275	0.35189	0.0	0.0165	0.32354	0.0	0.0	0.0	6.04358	0.0	0.0	0.0	0.0	0.01549	2.53137	0.0	0.20621	0.0	0.07096
s__Ruthenibacterium_lactatiformans	0	0.00523	0.47728	0.49479	0.04527	0.02743	0.11987	0.04946	0.18173	0.18278	0.01186	0.06626	0.01545	0.05011	0.04009	0.07217	0.14083	0.00499	0.15984	0.93876	0.0	0.0	0.0	0.02726	0.03023	0.88002	0.11646	0.84512
s__Ruminococcus_gnavus	0	0.00489	1.21	0.08494	0.0	0.28485	0.0	0.06832	0.07774	0.19804	3.00289	0.05545	0.24804	0.00033	0.0	0.0155	0.09378	1.92664	2.52127	7.70945	0.0	0.0	0.0	2.47639	0.0	0.39685	0.0	0.31155
s__Harryflintia_acetispora	0	0.00378	0.17432	0.0	0.0251	0.0	0.01213	0.0	0.0	0.0	0.0	0.00627	0.0	0.0064	0.0	0.0	0.00859	0.0	0.0	0.0	0.0	0.0	0.0	0.00733	0.0	0.00466	0.02339	0.0
s__Agathobaculum_butyriciproducens	0	0.00374	0.41073	0.0	0.13537	0.6721	0.04809	0.00769	0.0	0.25014	0.0	0.0	0.0	0.11952	0.0196	0.09787	0.24935	0.19933	0.0	0.0	0.01794	0.00678	0.0239	0.02856	0.04561	0.20445	0.00259	0.02907
s__Prevotella_stercorea	0	0.00275	0.00781	0.00621	24.44748	0.00181	0.0	0.0	0.0	14.78511	0.00412	0.00564	0.00404	0.00081	0.00437	0.00263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01755	0.0	0.0
s__Streptococcus_sanguinis	0	0.00249	0.0	0.05964	0.0	0.0	0.0	0.0	0.0	0.01519	0.0	0.0	0.0	0.0	0.00321	0.0	0.00654	0.0	0.0	0.0	0.0	0.02202	0.0	0.0	0.0	0.12088	0.0	0.0
s__Bacteroides_massiliensis	0	0.00144	0.0019	0.0	0.02229	0.00462	0.0	0.0028	0.8129	1.1964	3.80354	0.00263	0.00312	1.28228	0.00252	6.99936	0.00149	0.88606	0.0	1.37445	0.1542	0.28398	0.00225	3.33416	1.11846	0.00121	0.62125	0.44801
s__Coprobacter_fastidiosus	0	0.00143	1.09467	0.0	0.0	0.0	0.0	0.0	0.0	0.0107	0.0	0.0	0.0	0.06729	0.0	0.0	0.5985	0.0	0.0	0.0	0.0	0.05611	0.0	0.05997	0.0	0.0	0.16844	0.0
s__Flavonifractor_plautii	0	0.00112	0.65046	0.69192	0.46905	0.12934	0.20785	0.40322	0.04895	0.32921	0.1011	0.00931	0.12772	0.00956	0.90727	0.13679	0.26602	0.3501	1.52458	1.05014	0.0	0.0	0.0	0.07167	0.06456	1.09308	0.06762	0.20367
s__Methanobrevibacter_smithii	0	0.0	0.75844	0.0	0.12456	0.0	0.0	0.0	0.65127	0.0	0.0	0.009	0.0	0.02404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1879	0.01491
s__Blautia_sp_CAG_257	0	0.0	0.64764	0.00515	0.0	0.03759	0.01498	0.0	0.0	0.00309	0.02087	0.0	0.00347	0.0	0.09496	0.00518	0.00705	0.28727	0.0	2.1171	0.0	0.0	0.0	0.0	0.0	0.61067	0.0	0.05405
s__Intestinimonas_butyriciproducens	0	0.0	0.41549	0.00583	0.00819	0.02768	0.21258	0.0	0.02535	0.02916	0.01668	0.02546	0.0	0.00317	0.01171	0.07045	0.22779	0.19746	0.0	0.08426	0.0	0.0	0.0	0.03561	0.0	0.96634	0.00704	0.0206
