clade_name	NCBI_tax_id	C16-20005-GH	C16-20006-GH	C16-20007-GH	C16-20008-GH	C16-20009-GH	C16-20010-GH	C16-20011-GH	C16-20029-GH	C16-20030-GH	C16-20032-GH	C16-20047-GH	C16-20048-GH	C16-20049-GH	C16-20050-GH	C16-20065-GH	C16-20066-GH	C16-20073-GH	C16-20074-GH	C16-20108-GH	C16-20110-GH	C16-20111-GH	C16-20112-GH	C16-20113-GH	C16-20124-GH	C16-20125-GH	C16-20126-GH	C16-20127-GH	C16-20138-GH	C16-20241-GH	C16-20242-GH	C16-20243-GH	C16-20244-GH	C16-20245-GH	C16-20246-GH	C16-20247-GH	C16-20273-GH	C16-20274-GH	C16-20275-GH	C16-20288-GH	C16-20292-GH	C16-20362-GH	C16-20363-GH	C16-20374-GH	C16-20375-GH
s__Agathobaculum_butyriciproducens	0	0.2831	0.08251	0.05695	0.10316	0.0247	0.02796	0.0	0.04677	0.02305	0.09693	0.0752	0.17254	0.16498	0.03517	0.02137	0.0	0.38009	0.03273	0.01249	0.0821	0.0	0.0383	0.02384	0.02706	0.02863	0.0068	0.01436	0.06591	0.07838	0.04024	0.00461	0.16609	0.2381	0.16934	0.41311	0.07242	0.0	0.02577	0.26778	0.06936	0.03403	0.02942	0.0961	0.00164
s__Gemmiger_formicilis	0	0.2546	0.00494	0.08026	0.06503	0.13202	0.01736	0.01297	0.10854	0.05609	0.02107	0.08141	0.09588	0.27422	0.20971	0.03228	0.0	0.00794	0.0312	0.14153	0.06098	0.08785	0.00571	0.01094	0.09518	0.18135	0.27507	0.00878	0.05264	0.03697	0.05293	0.03619	0.09418	0.32119	0.13508	0.10482	0.11937	0.0	0.28274	0.20955	0.29352	0.09794	0.02661	0.16707	0.02408
s__Blautia_wexlerae	0	0.22637	0.10384	0.16088	0.40179	0.01704	0.01267	0.01848	0.01799	0.0	0.27721	0.02258	0.13079	0.0	0.24439	0.04525	0.01337	1.25034	0.08149	0.17861	0.00891	0.01825	0.01712	0.13066	0.33127	0.18767	0.88646	0.08219	0.18903	0.02281	0.02483	0.11994	0.12403	0.65735	0.15869	1.6262	0.06483	0.0	0.07582	0.16767	0.09777	0.12893	0.0033	0.17515	0.67569
s__Anaerobiospirillum_thomasii	0	0.22592	0.0	0.08562	0.0	0.13239	0.0	0.0	0.00538	0.01411	0.0	0.0	0.0	0.0	0.0	0.10972	0.0	0.0	0.0	0.0	0.0	0.00939	0.0	0.10821	0.0	0.0	0.0	0.0	0.0	0.17826	0.01001	0.0	0.0	0.0	0.0	0.0	0.29857	0.0	0.0	0.0	0.00591	0.20062	0.05841	0.02261	0.0
s__Blautia_obeum	0	0.1939	0.07743	0.01139	0.00881	0.02201	0.067	0.0	0.03895	0.02252	0.00562	0.02519	0.03823	0.3886	0.56429	0.0713	0.0	0.59509	0.03989	0.00536	0.11525	0.01604	0.01431	0.01447	0.00398	0.20799	0.06084	0.00299	0.01422	0.11807	0.05266	0.0069	0.02571	0.44357	0.01974	0.0	0.70847	0.23424	0.09595	0.58331	0.84711	0.13993	0.08681	0.03165	0.0
s__Haemophilus_parainfluenzae	0	0.16577	0.167	0.43327	0.09443	0.39932	0.90884	0.00661	0.01507	0.06875	0.41528	0.37094	0.0	0.12292	0.00382	0.58852	0.09999	3.02475	0.0132	0.0	0.0624	0.01968	0.08542	0.62529	0.08574	0.14144	0.04387	0.04332	0.18007	0.16682	0.00817	0.2208	0.40066	0.0105	0.3884	1.84036	0.90995	1.49602	0.01846	0.11067	2.50495	0.37211	0.0	0.0	0.30788
s__Firmicutes_bacterium_CAG_83	0	0.14248	0.0	1.35635	0.01256	0.15208	0.05316	0.17891	1.7445	2.02213	0.35334	1.72306	0.65892	4.45238	0.22944	0.56678	0.0	0.01651	4.62218	2.22507	0.13335	0.52139	0.12916	0.14466	0.45653	1.46622	0.29378	0.14388	0.03793	0.74348	0.4418	0.35727	0.0	0.2366	0.0	0.0	0.03823	0.0	1.82054	0.03715	0.03712	0.00318	0.12883	0.18731	0.00663
s__Eubacterium_ramulus	0	0.14101	0.02594	0.07257	0.08026	0.1491	0.06985	0.00379	0.07366	0.02469	0.0141	0.01193	0.12628	0.11508	0.01469	0.46465	0.0	0.09092	0.08909	0.0	0.01122	0.10699	0.03767	0.0	0.03223	0.04215	0.09983	0.04821	0.0066	0.0	0.03396	0.0	0.2189	0.0494	0.24846	0.07396	0.07726	0.70531	0.0147	0.06272	0.00626	0.03426	0.0	0.04005	0.15869
s__Escherichia_coli	0	0.14009	0.12813	0.01035	0.0	0.47955	3.12654	20.36397	0.50917	1.8622	0.09188	0.26368	0.44029	0.17087	0.0	0.50735	7.01396	0.67135	0.16843	0.10021	0.1861	0.01982	0.57175	0.0	0.07154	0.0	0.52676	0.05737	1.3069	0.87091	0.85782	0.19535	0.00856	0.19468	0.00972	19.97463	0.83699	4.8361	0.75777	3.24165	1.57727	0.43216	0.18224	0.90335	0.89897
s__Holdemanella_biformis	0	0.13332	0.6902	0.0775	0.38944	1.66462	0.14799	0.18115	0.04408	0.04625	0.08922	0.0639	0.01516	0.06452	1.39269	0.11937	0.0	0.0	0.19345	0.0768	0.23058	2.0588	0.21735	0.10477	0.0	0.18352	0.0	0.10937	0.0	0.17768	0.18532	0.0	0.69173	2.13595	0.68613	2.13296	0.33	0.0	0.21693	4.87124	1.49992	0.28105	0.10708	1.17705	0.13122
s__Brachyspira_sp_CAG_700	0	0.12836	0.0	0.0	2.223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Coprococcus_catus	0	0.12109	0.02099	0.04006	0.03046	0.04306	0.04688	0.0091	0.13123	0.01258	0.00035	0.02798	0.08018	0.05351	0.01337	0.08933	0.0	0.03183	0.0	0.0116	0.05975	0.06419	0.05982	0.00066	0.02062	0.05247	0.03626	0.06317	0.03782	0.02837	0.01225	0.0	0.0	0.08962	0.0	0.00063	0.17909	0.0	0.1189	0.17297	0.04602	0.06729	0.01677	0.22299	0.20309
