model	held_out_study	balanced_accuracy	f1_macro	auroc	balanced_accuracy_std	f1_macro_std	auroc_std	n_train_samples	n_eval_samples	ctrl_anchor_mmd_mean	ctrl_anchor_mmd_max	ctrl_anchor_coral_mean	ctrl_anchor_coral_max
taxi-hyp-philrvae	FengQ_2015	0.4787582839204743	0.2577226147285985		0.0322783605312436	0.0202212725768954		1496	154				
taxi-hyp-philrvae	VogtmannE_2016	0.4025641025641026	0.252481306068619		0.0114670152692297	0.0059538543551944		1540	110				
taxi-hyp-philrvae	ZellerG_2014	0.4360641008645958	0.2257075310336084		0.0162312669841699	0.011931038095133		1494	156				
taxi-hyp-philrvae	YuJ_2015	0.6508508508508509	0.2685070448582912		0.016123575266953	0.0059730509676192		1522	128				
taxi-hyp-philrvae	WirbelJ_2018	0.5375641025641025	0.2404778331726331		0.010141584800948	0.0042866576131595		1525	125				
taxi-hyp-philrvae	YachidaS_2019	0.3284165662929676	0.2390044812030929		0.0035464729753612	0.0023907553501571		1034	616				
taxi-hyp-philrvae	ThomasAM_2018a	0.4697424435930183	0.2468511588927011		0.0104294679117287	0.0034282852576877		1570	80				
taxi-hyp-philrvae	ThomasAM_2018b	0.5964285714285714	0.2585468815229189		0.0073015300150875	0.0023701065317377		1590	60				
taxi-hyp-philrvae	ThomasAM_2019_c	0.9975	0.398999843725582		0.0055901699437494	0.0022364174177213		1570	80				
taxi-hyp-philrvae	HanniganGD_2017	0.3795143128476462	0.2115803285872715		0.0154292398072712	0.0099950099818148		1569	81				
taxi-hyp-philrvae	GuptaA_2019	0.5833333333333334	0.2501135591914207		0.0372677996249964	0.0173372289688553		1590	60				
xgb-baseline	FengQ_2015	0.5021246265601067	0.2644253621672014		0.0144855603524156	0.0098132998328224		1496	154				
xgb-baseline	VogtmannE_2016	0.4051282051282051	0.2503457371474985		0.0146176336551171	0.0077216783562559		1540	110				
xgb-baseline	ZellerG_2014	0.4891412467657441	0.2505238119857657		0.0096374290527201	0.0056824559568995		1494	156				
xgb-baseline	YuJ_2015	0.7321821821821823	0.294598325061591		0.0086858830111164	0.0047411590480068		1522	128				
xgb-baseline	WirbelJ_2018	0.717948717948718	0.3073408930963986		0.0085041661291164	0.0036602222498563		1525	125				
xgb-baseline	YachidaS_2019	0.3448848018777602	0.2493985546712195		0.0037118593593291	0.0026846904942597		1034	616				
xgb-baseline	ThomasAM_2018a	0.5214665815240528	0.2741227820852101		0.0290665515934233	0.0166665058486886		1570	80				
xgb-baseline	ThomasAM_2018b	0.7107142857142857	0.2871319159164897		0.0206156248018193	0.0062102071340647		1590	60				
xgb-baseline	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80				
xgb-baseline	HanniganGD_2017	0.3612806946140279	0.1775773354660363		0.0198329773593538	0.0178665988177887		1569	81				
xgb-baseline	GuptaA_2019	0.6933333333333334	0.2879175163645994		0.0252762514801717	0.0104125850150948		1590	60				
xgb-coral	FengQ_2015	0.3998336897125208	0.1947403350589423		0.0157577553325557	0.0083998571217449		1496	154				
xgb-coral	VogtmannE_2016	0.3897435897435897	0.2270853942729014		0.0153042774183504	0.0090503029248699		1540	110				
xgb-coral	ZellerG_2014	0.4493452933292092	0.2239720865647375		0.0159592959594146	0.0083688173539202		1494	156				
xgb-coral	YuJ_2015	0.6485485485485485	0.2650229577997941		0.0089402755620687	0.0035498070480195		1522	128				
xgb-coral	WirbelJ_2018	0.6028205128205129	0.2423639403147342		0.0197608565854684	0.0083742721253821		1525	125				
xgb-coral	YachidaS_2019	0.3098420157159168	0.2334677849416539		0.0026375858013771	0.0026786964275099		1034	616				
xgb-coral	ThomasAM_2018a	0.4499042145593869	0.2139479552453773		0.0276963232999371	0.0125342007777987		1570	80				
xgb-coral	ThomasAM_2018b	0.5687500000000001	0.226175799218252		0.0377291573932156	0.0168428076304077		1590	60				
xgb-coral	ThomasAM_2019_c	0.7375	0.2986626116085727		0.0233853586673371	0.0067467010888759		1570	80				
xgb-coral	HanniganGD_2017	0.3539004205670872	0.1778906397453813		0.0317777095759363	0.0224517630355832		1569	81				
xgb-coral	GuptaA_2019	0.7566666666666666	0.3017425666481607		0.0252762514801718	0.0098642296105611		1590	60				
