clade_name	NCBI_tax_id	JAS_1	JAS_10	JAS_2	JAS_3	JAS_4	JAS_5	JAS_6	JAS_7	JAS_8	JAS_9	KHG_1	KHG_10	KHG_11	KHG_12	KHG_2	KHG_3	KHG_4	KHG_5	KHG_6	KHG_7	KHG_8	KHG_9	LDK_1-2	LDK_2	LDK_3	LDK_4	LDK_5	LDK_6	LDK_7	LDK_8	LDK_9
s__Ruminococcus_sp_CAG_488	0	0.22148	0.0	0.03429	0.0	0.0	0.0	0.0	0.0	0.67681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51585	0.0	0.0	0.00075	0.50321	0.0	0.0	0.08393	0.00844	0.00066	0.0	0.0
s__Methanobrevibacter_smithii	0	0.21906	0.0	0.67991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54364	0.0	0.0	0.00866	0.00172	0.0	0.0	0.0	0.00867	0.08601	0.0	0.0
s__Oscillibacter_sp_57_20	0	0.2055	0.0	0.07047	0.02101	0.08491	0.01794	0.05507	0.12871	0.09601	0.07462	0.00207	0.75117	0.0	0.04045	0.04328	0.00086	0.06288	0.06691	1.24674	0.43724	0.00744	0.40884	0.0271	0.14048	0.06347	0.03309	0.13124	0.03127	0.14567	0.17363	0.04545
s__Clostridium_sp_CAG_510	0	0.19242	0.0	0.10385	0.0	0.0	0.0	0.68469	0.0	0.0	0.0	0.0	0.03907	0.0	0.0	0.0	0.0	0.0	0.0	0.03721	0.0	0.0	0.0	0.90926	0.76902	0.03985	0.05522	0.0	0.0	0.10031	0.0	0.0
s__Mitsuokella_jalaludinii	0	0.18661	0.0	0.01021	0.46785	0.10612	0.06379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00129	0.0	0.06931	0.0	0.74234	0.0	0.06081	0.0	0.7867	0.0	0.16624	0.00199	0.00388	0.00595	0.00232	0.05377	0.0	0.0
s__Slackia_isoflavoniconvertens	0	0.17041	0.20331	0.20169	0.13272	0.20139	0.23069	0.17121	0.03444	0.24895	0.0	0.0	0.43581	0.0	0.29132	0.04166	0.0	0.08091	0.57292	1.16603	0.59227	0.0	0.31089	0.14469	0.0	0.03973	0.1493	0.07805	0.06514	0.22758	0.11041	0.14776
s__Oscillibacter_sp_CAG_241	0	0.1613	0.0	0.08852	0.0	0.0	0.0	0.00131	0.0	0.02129	0.03197	0.00049	0.48853	0.00173	0.03261	0.0	0.0	0.0	0.0	0.21307	10.87971	0.0	1.08063	0.00534	0.04605	0.001	0.00612	0.10619	0.00114	0.08531	0.17489	0.03584
s__Agathobaculum_butyriciproducens	0	0.15979	0.78694	0.92813	0.00481	0.38406	0.73339	0.26839	0.15903	0.28089	0.60983	0.25783	1.19482	0.23003	0.04689	0.08423	0.04901	0.1264	0.29063	0.56568	0.19451	1.2734	0.3158	0.02226	0.03397	0.0	0.14391	0.17432	0.00252	0.6866	0.33028	0.10639
s__Roseburia_inulinivorans	0	0.14315	0.77094	0.14216	0.98942	1.27131	0.53828	0.78167	0.59481	1.3577	0.08072	0.4369	0.11397	0.09806	0.68901	0.16403	0.75015	0.18851	0.52399	0.90586	0.0871	1.87689	0.65227	0.39828	0.30966	0.69032	0.29469	0.9977	0.67891	0.61844	0.05874	0.10201
s__Turicibacter_sanguinis	0	0.13491	0.0	0.0	0.00273	0.0582	0.04519	0.0041	0.00193	0.0	0.0	0.00753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00238	0.0	0.0	0.00971	0.0	0.0	0.02455
