clade_name	NCBI_tax_id	M_C100	M_C101	M_C105	M_C106	M_C109	M_C110	M_C111	M_C114	M_C115	M_C117	M_C118	M_C119	M_C120	M_C123	MV_C101	MV_C106	MV_C111	MV_C112	MV_C113	MV_C114	MV_C115	MV_C117	MV_C118	MV_C120	V1_C101	V1_C106	V1_C109	V1_C110	V1_C111	V1_C113	V1_C115	V1_C118	V1_C120	V2_C100	V2_C101	V2_C105	V2_C106	V2_C109	V2_C110	V2_C111	V2_C112	V2_C114	V2_C115	V2_C116	V2_C117	V2_C118	V2_C119	V2_C120	V3_C100	V3_C101	V3_C105	V3_C106	V3_C110	V3_C111	V3_C112	V3_C113	V3_C114	V3_C115	V3_C116	V3_C117	V3_C118	V3_C119	V3_C120
s__Parabacteroides_merdae	0	0.33478	0.22321	0.20449	0.4439	0.0	0.22272	0.47384	1.01549	0.38282	0.0	0.0	2.31831	0.24545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00595	0.00896	0.0	0	0.0	0.0	12.31107	0.0	0.0	0.0	0.0	0.22241	0.14155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.45181	0.0	0.0	0.0	0.00014	0.17024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Gemmiger_formicilis	0	0.33208	0.0	0.71232	1.51727	0.0	2.74437	0.84861	0.0	0.97299	0.59655	0.30878	0.11996	0.12264	0.20927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_caccae	0	0.3246	0.11616	0.0	0.37795	0.0	0.00377	0.0	0.0	0.01906	0.0	0.15023	0.54105	0.0	0.57551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.03628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_lactaris	0	0.32097	0.0	0.0	0.0	0.0	0.38846	0.02709	0.0	0.0	1.34462	0.0042	0.0	0.0	0.06135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_innocuum	0	0.28588	0.0899	0.00075	0.0	2.58104	0.0	0.0	0.06272	0.19989	0.0	0.01477	0.00549	0.00178	0.00538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Dorea_formicigenerans	0	0.2822	0.0	0.72315	0.47732	0.0	0.24995	0.04331	0.02305	0.11464	0.32165	0.07844	0.17982	0.13292	0.18504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Coprococcus_comes	0	0.27643	0.0	0.46761	0.13715	0.21587	1.17563	0.14398	0.0	0.01006	0.1291	0.1416	0.95609	0.13602	0.58856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eisenbergiella_massiliensis	0	0.27214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Monoglobus_pectinilyticus	0	0.2692	0.0	0.0	0.0	0.0	0.14564	0.05938	0.0	0.0	0.14258	0.04523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Firmicutes_bacterium_CAG_110	0	0.26541	0.0	0.0	0.30596	0.0	0.50008	0.0	0.0	0.0311	0.0	0.19563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
