model	held_out_study	balanced_accuracy	f1_macro	auroc	balanced_accuracy_std	f1_macro_std	auroc_std	n_train_samples	n_eval_samples	ctrl_anchor_mmd_mean	ctrl_anchor_mmd_max	ctrl_anchor_coral_mean	ctrl_anchor_coral_max	n_studies_diag
xgb-baseline	ThomasAM_2018b	0.7107142857142857	0.2871319159164897		0.0206156248018193	0.0062102071340647		1590	60					0
xgb-baseline	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80					0
xgb-baseline	HanniganGD_2017	0.3612806946140279	0.1775773354660363		0.0198329773593538	0.0178665988177887		1569	81					0
xgb-baseline	GuptaA_2019	0.6933333333333334	0.2879175163645994		0.0252762514801717	0.0104125850150948		1590	60					0
xgb-coral	FengQ_2015	0.4237303043629911	0.2105994940219309		0.0145468113178412	0.0089039670024038		1496	154					0
xgb-coral	VogtmannE_2016	0.3756410256410256	0.2192446676353306		0.0205728288921554	0.0115094198816841		1540	110					0
xgb-coral	ZellerG_2014	0.4846891432106402	0.2471322326097642		0.0098173183353778	0.0050540259680884		1494	156					0
xgb-coral	YuJ_2015	0.6877377377377377	0.2732300452871573		0.0199152664822814	0.0077894932126332		1522	128					0
xgb-coral	WirbelJ_2018	0.5956410256410256	0.2386290869423932		0.0219891417230109	0.0095230415939501		1525	125					0
xgb-coral	YachidaS_2019	0.3071493385476951	0.2221296974743646		0.0025958056739293	0.0032429333076025		1034	616					0
