clade_name	NCBI_tax_id	ES_001	ES_007	ES_010	ES_014	ES_017	ES_019	ES_024	ES_043	ES_046	ES_048	ES_069	ES_080	ES_088	ES_089	ES_095	ES_099	ES_104	ES_106	ES_107	ES_108	ES_110	ES_114	ES_116	ES_132	ES_137	ES_147	ES_158	ES_207	ES_208	ES_209	ES_210	ES_211
s__Prevotella_veroralis	0	0.0	0.0	0.0	0.12178	0.05923	0.00432	0.04541	0.07764	0.21276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00553	0.0	0.0335	0.0	0.09372	0.00072	0.0	0.01115	0.0	0.17227	0.00324	0.0	0.0	0.01537	0.02633	0.0
s__Eubacterium_sulci	0	0.0	0.0	0.0	0.11015	0.0	0.0	0.00071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09923	0.0	0.1225	1.79932	1.23092	0.0	2.42752	0.89572	1.48071	0.0	0.24615	0.0	1.08499	0.19262	0.57534	0.82904	2.92651	0.51942
s__Streptococcus_sp_HMSC070B10	0	0.0	0.0	0.0	0.10457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Oribacterium_asaccharolyticum	0	0.0	0.0	0.0	0.09991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04928	0.00484	0.00691	0.06727	0.03587	0.14863	0.03925	0.0	0.06015	0.0	0.01746	0.0	0.00205	0.01849	0.10379	0.0
s__Haemophilus_haemolyticus	0	0.0	0.0	0.0	0.08337	0.30269	0.15566	0.05925	0.0	0.0	0.25832	0.0	0.0	0.0	0.0	0.31432	0.64782	0.0	0.0	0.20322	0.0	0.0829	0.0	0.01645	0.0	0.0	0.0	0.00823	0.95775	0.03685	0.0	0.04292	0.0
s__Cutibacterium_acnes	0	0.0	0.0	0.0	0.06335	0.0	0.0	0.0	0.04087	0.0	0.0	0.02896	0.0	0.02727	0.43526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00768	0.0	0.0	0.0	0.0	0.00445	1.313	0.00037	0.0	0.00482	0.0
s__Streptococcus_sp_HMSC034E03	0	0.0	0.0	0.0	0.04616	0.11991	0.0	0.00276	0.0	0.0	0.0	0.51184	0.0	0.0	0.0	0.0	0.0	0.08503	0.05637	0.06295	1.44293	0.0761	0.0	0.01363	0.06503	0.0	0.0	0.08759	0.0	0.07891	0.08466	0.0	0.05086
s__Actinomyces_sp_S6_Spd3	0	0.0	0.0	0.0	0.03901	0.0	0.0	0.00958	0.0	0.0	0.0	0.0	0.0	0.06152	0.67869	0.0	0.0	0.36979	1.76265	0.66611	0.14935	0.237	0.59166	1.06008	0.33861	3.01316	0.0	0.08936	0.0	0.05558	0.42907	0.49699	0.17877
s__Streptococcus_sp_HMSC071D03	0	0.0	0.0	0.0	0.03268	0.0	0.0	0.03544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68243	0.01797	0.0	0.01758	0.0	0.0	0.0	0.03738	0.0	0.0	0.00697	0.0	0.20406
s__Neisseria_subflava	0	0.0	0.0	0.0	0.02915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.20305	0.1532	12.81751	0.06241	0.29503	0.0	0.0	0.08932	0.08421	0.0	0.0	0.0	0.0	2.22003	0.90143	7.53395	0.11181	0.0	0.0
s__Streptococcus_sp_HMSC067H01	0	0.0	0.0	0.0	0.02591	0.08357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08336	0.02645	0.03964	0.23593	0.18585	0.0	0.01011	0.0	0.0	0.0	0.54116	0.0	0.06726	0.0373	0.01776	0.04671
s__Bifidobacterium_longum	0	0.0	0.0	0.0	0.00924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_oulorum	0	0.0	0.0	0.0	0.00503	0.0	0.29193	0.06307	0.21993	0.10074	0.0	0.04207	0.00314	0.0	0.0	0.0	0.0	0.0	0.0	0.17871	0.0	0.06777	0.0	0.04994	0.00844	0.01386	0.0	0.0	0.0	0.0	1.0982	0.17127	0.0
s__Porphyromonas_gingivalis	0	0.0	0.0	0.0	0.0	1.55981	0.0	0.31755	0.0	0.0	0.03527	0.0	0.0	0.0	0.0	0.0	0.58399	0.0	0.0	0.0	0.33015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07356	0.0	0.0	0.0	0.0
s__Streptococcus_sp_NLAE_zl_C503	0	0.0	0.0	0.0	0.0	1.17753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0397	0.0	0.0	0.0	0.0	0.0
