clade_name	NCBI_tax_id	U_VS-1226-261	U_VS-1226-705	U_VS-1506-127	U_VS-1506-333	U_VS-1540-350	U_VS-1540-523	U_VS-1590-365	U_VS-1590-529	U_VS-1592-169	U_VS-1592-367	U_VS-1651-391	U_VS-1651-541	U_VS-1686-403	U_VS-1686-548	U_VS-3059-508	U_VS-3059-665	U_VS-3145-692	U_VS-3145-837	U_VS-4218-876	U_VS-4218-901	U_VS-P610052-1	U_VS-P610096-1	U_VS-P610119-1	U_VS-P610129-1
s__Actinomyces_turicensis	0	0.0	0.00553	0.0	0.0	0.0	0.0	0.00946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0044	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_sobrinus	0	0.0	0.00505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudomonas_yamanorum	0	0.0	0.00495	0.0	0.0	0.0	0.01481	0.00058	0.0017	0.0	0.0	0.0	0.01074	0.0	0.00138	0.01739	0.0	0.0	0.0066	0.0	0.00324	0.0	0.0	0.0	0.0
s__Veillonella_sp_T11011_6	0	0.0	0.00471	0.0	0.0	0.0	0.03112	0.0	0.0	0.0	0.0	0.00137	0.0	0.0	0.0	0.0	0.0	0.00567	0.0235	0.0	0.0	0.0	0.00274	0.04961	0.00044
s__Streptococcus_sp_F0442	0	0.0	0.00451	0.0	0.00029	0.0	0.00086	0.0	0.0	0.00063	0.00151	0.0	0.0	0.0	0.0	0.00773	0.00128	0.00057	0.00171	0.0	0.0	0.0	0.0	0.00675	0.0
s__Parvimonas_micra	0	0.0	0.00402	0.01713	0.0	0.0	0.0	0.01192	0.01456	0.00619	0.00011	0.0	0.0	0.01076	0.0004	0.0208	0.00888	0.01283	0.0215	0.00459	0.00247	0.00233	0.00123	0.0	0.0
s__Ruminococcus_sp_CAG_563	0	0.0	0.00394	0.0	0.00274	0.00321	0.0	0.0	0.0	0.0	0.0	0.00825	0.00786	0.0	0.0	0.0	0.0	0.00029	0.00084	0.09948	0.0001	0.0	0.0	0.0	0.0
s__Corynebacterium_durum	0	0.0	0.00285	0.0032	0.0	0.00237	0.0	0.00187	0.00459	0.00034	0.0	0.00521	0.01024	0.01107	0.0	0.00363	0.00153	0.00229	0.00885	0.00444	0.0	0.0013	0.0	0.00677	0.00176
s__Enterococcus_faecium	0	0.0	0.00219	0.0	0.0	0.0	0.0	0.30404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11399
s__Rhodococcus_erythropolis	0	0.0	0.0021	0.00288	0.0	0.0	0.0	0.0	0.0	0.00113	0.0	0.0	0.00189	0.0	0.00093	0.01106	0.0	0.0	0.00406	0.0	0.00301	0.0	0.0	0.0	0.0
s__Actinomyces_johnsonii	0	0.0	0.00209	0.00038	0.0	0.0	0.0	0.00118	0.0	0.0	0.0	0.0	0.0	0.00225	0.0	0.00101	0.00124	0.0	0.00051	0.0	0.0	0.01179	0.0	0.0037	0.0
s__Scardovia_wiggsiae	0	0.0	0.00202	0.0069	9e-05	0.0	0.0	0.02358	0.00086	0.0	0.0	0.0	0.0	0.01112	0.0	0.00582	0.00202	0.00674	0.02582	0.01667	0.0	0.0	0.0	0.0	0.0
s__Enterococcus_hirae	0	0.0	0.00201	0.0	0.00918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08858	0.0	0.0	0.01025	0.0553	0.0	0.00219	0.02564	0.70948	0.0	0.10375	0.14504	0.18606
s__Blastocystis_sp_subtype_1	0	0.0	0.0018	0.0	0.00794	0.0	0.0	0.0	0.0	0.0	0.0	0.01594	0.02068	0.0	0.0	0.0	0.0	0.00497	0.0	0.0	0.0	0.0	0.0199	0.01505	0.0
s__Rhodococcus_qingshengii	0	0.0	0.00167	0.01997	0.0	0.0	0.02846	0.0	0.0	0.00089	0.0	0.0	0.0002	0.0	0.00072	0.03409	0.0	0.0	0.01894	0.0	0.0	0.0	0.0	0.0	0.0
