clade_name	NCBI_tax_id	SAMEA4719760	SAMEA4719761	SAMEA4719762	SAMEA4719763	SAMEA4719764	SAMEA4719765	SAMEA4719766	SAMEA4719767	SAMEA4719768	SAMEA4719769	SAMEA4719770	SAMEA4719771	SAMEA4719772	SAMEA4719773	SAMEA4719774	SAMEA4719775	SAMEA4719776	SAMEA4719777	SAMEA4719778	SAMEA4719779	SAMEA4719780	SAMEA4719781	SAMEA4719782	SAMEA4719783	SAMEA4719784	SAMEA4719785	SAMEA4719786	SAMEA4719787	SAMEA4719788	SAMEA4719789	SAMEA4719790	SAMEA4719791	SAMEA4719792	SAMEA4719793	SAMEA4719794	SAMEA4719795	SAMEA4719796	SAMEA4719797	SAMEA4719798	SAMEA4719799	SAMEA4719800	SAMEA4719801	SAMEA4719802	SAMEA4719803	SAMEA4719804	SAMEA4719805	SAMEA4719806	SAMEA4719807	SAMEA4719808	SAMEA4719809	SAMEA4719810	SAMEA4719811	SAMEA4719812	SAMEA4719813	SAMEA4719814	SAMEA4719815	SAMEA4719816
s__Roseburia_sp_831b	0	0.61262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00213	0.0	0.0	0.0	0.0	0.0	0.01948	0.0	0.0	0.0	0.01117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Slackia_isoflavoniconvertens	0	0.60066	0.00456	0.06557	0.14218	0.0234	0.0	0.0	0.0	0.04217	0.08254	0.19257	0.05887	0.34913	0.00499	0.07857	0.09664	0.07552	0.12496	0.01662	0.09587	0.11456	0.16416	0.11155	0.13428	0.05907	0.0878	0.03831	0.12135	0.0	0.02134	0.16476	0.11234	0.12197	0.22156	0.94408	0.47429	0.12337	0.01915	0.12303	0.07293	0.88137	0.0	0.11696	0.37898	0.35852	0.30474	0.92315	0.04448	1.33424	0.01963	0.03751	0.01114	0.04036	0.04513	0.18209	0.00305	0.0
s__Clostridium_sp_CAG_413	0	0.58623	0.01778	4.27389	0.0	0.0	0.0	0.0	0.0	2.08	0.0	0.67401	0.0	0.0	0.0	0.0	0.0	6.51855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13436	0.0	1.79816	0.0	0.0	5.20728	0.0	0.0	0.0	5.54833	0.0	0.0	0.0	0.13434	0.0	0.0	0.23139	0.55227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Blautia_obeum	0	0.57246	0.0604	0.09324	0.03594	0.52413	0.09107	0.0	0.0	0.20699	0.05406	0.13877	0.01406	0.01472	0.0044	0.27245	0.13371	0.38249	0.04497	0.04247	0.03401	0.03787	0.03701	0.06967	0.40866	0.07627	0.03306	0.01851	0.10348	0.28204	0.12821	0.10027	0.08837	0.08082	0.14918	1.02006	0.2539	0.18324	0.04353	0.14818	0.12697	0.13177	0.00661	0.05904	0.10309	0.03586	0.0261	3.01649	0.02914	1.26034	0.00698	0.06667	0.0035	0.0425	0.01573	0.37373	0.00231	0.0
s__Catenibacterium_mitsuokai	0	0.55471	0.07834	1.91969	0.31088	0.8515	0.0	0.0	0.0	0.17532	0.07845	0.16548	0.00131	0.0	0.0	0.41581	0.0325	1.83833	1.37919	0.10891	2.21372	0.0	0.06876	0.62494	2.68156	3.52152	0.06352	0.2614	0.67775	3.90975	0.36334	0.06709	0.18698	0.08381	0.93523	0.03793	0.12481	1.47266	0.03575	1.0703	0.04408	0.72323	0.0	0.0	0.00928	2.89753	0.0	0.28271	1.76307	0.74212	1.06283	2.22267	0.0	0.03823	0.21433	1.17096	0.03341	0.0
s__Gemmiger_formicilis	0	0.54022	0.07541	0.05781	0.09525	0.09703	0.08339	0.0	0.00739	0.05308	0.12385	0.36367	0.17413	0.1469	0.07613	0.18367	0.12269	0.21212	0.03824	0.07223	0.03393	0.19505	0.00884	0.15925	0.08533	0.24962	0.12565	0.02963	0.19646	0.29192	0.19878	0.10642	0.4468	0.20171	0.14389	0.44547	0.42666	0.16539	0.04772	0.16778	0.60195	0.21324	0.00347	0.16934	0.35138	0.6527	0.06249	1.89528	0.0047	0.52955	0.01462	0.09601	0.00166	0.00326	0.09736	0.2271	0.0	0.3837
s__Holdemanella_biformis	0	0.45996	0.09195	0.15789	0.48213	0.36642	0.02935	0.0	0.0	0.0	0.08263	0.60722	0.26509	0.28657	0.12473	0.06837	0.36965	0.13612	0.08513	0.01218	0.18575	0.53811	0.0937	0.22873	0.38923	0.1591	0.04284	0.04266	0.1393	0.34972	0.53726	0.10605	0.09168	0.1387	0.26837	1.69143	3.95284	1.27901	0.0	0.27589	0.85555	0.02084	0.32602	0.19192	3.91762	0.20774	0.22359	10.24134	0.02066	1.79197	0.02237	0.14552	0.0	0.01731	0.0	0.12918	0.02055	0.0
s__Prevotella_sp_AM42_24	0	0.34086	6.1283	0.61198	0.11938	0.13111	3.42096	0.0	0.06187	1.29711	4.32653	3.25719	22.09084	0.00683	0.01149	1.45962	0.00663	0.12407	0.08825	0.34321	0.63084	1.35576	3.89487	1.7152	0.23448	0.52987	3.68155	4.14669	2.43104	0.0	0.0	1.21012	1.21279	1.05519	2.39883	0.64636	0.29369	0.01366	14.36002	0.10179	0.89049	0.6066	0.52841	0.01152	1.10538	0.52151	1.37536	0.03165	1.90075	0.0	1.84597	0.75401	0.0	2.61078	7.49933	0.82623	0.45076	0.00053
s__Dorea_formicigenerans	0	0.29345	0.32339	0.88142	0.31831	0.54035	0.12697	0.0	0.0	0.21044	0.38791	0.73473	0.12572	0.11725	0.16342	0.08725	0.04234	0.4085	0.47164	0.05699	0.29433	0.08633	0.30276	0.50724	1.37184	0.55377	0.04232	0.82076	0.50812	1.06883	0.22709	0.06556	1.70243	0.15137	0.77171	2.25104	0.85248	0.2647	0.08333	0.36451	0.29238	0.17753	0.20362	0.11123	1.03117	0.36707	0.10049	0.13424	0.30967	0.17656	1.40756	0.26247	0.43968	0.16831	0.12341	0.28172	0.12104	0.0
s__Prevotella_sp_CAG_1092	0	0.28084	0.0	0.08717	0.0475	0.0	2.1943	0.0	0.70072	0.75715	0.56351	1.19823	1.45705	0.0	0.0	0.44474	0.80188	0.0	0.01243	0.4941	0.79308	2.84733	0.48331	1.22232	1.3951	0.48554	2.41592	0.6891	1.07297	0.0	0.0	0.34228	1.76975	4.8763	8.21101	1.64351	0.0	0.78974	2.16391	0.06288	0.05159	3.46254	0.0	0.01139	0.26627	0.04862	0.0	0.01621	0.43669	0.0	0.09737	0.98817	0.0	0.45817	5.99336	0.34824	0.03781	0.0
