clade_name	NCBI_tax_id	S01-01-D	S01-02-D	S01-05-R	S01-06-R	S03-01-D	S03-03-R	S04-01-D	S04-02-D	S04-03-D	S04-04-D	S04-05-R	S04-06-R	S04-07-R	S04-08-R	S07-01-D	S07-03-R	S12-01-D	S12-02-D	S12-03-R	S12-04-R	S13-01-D	S13-02-D	S13-03-R	S13-04-R	S14-01-D	S14-02-D	S14-03-R	S14-04-R	S17-01-D	S17-02-D	S17-03-R	S17-04-R	S20-01-D	S20-02-D	S20-03-R	S20-04-R	S21-01-D	S21-02-D	S21-03-R	S21-04-R	S27-01-D	S27-02-D	S27-03-R	S27-04-R	S31-01-D	S31-02-D	S31-03-R	S31-04-R
s__Prevotella_dentalis	0	0.0	0.07544	0.0	0.0	0.01651	0.0	0.13431	0.15228	0.09232	0.0	0.0	0.0	0.0	0.0	0.19626	0.00896	0.0	0.0	0.0	0.0	0.74385	0.89309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22219	0.0	0.0	0.02113	0.03197	0.0	0.00514
s__Desulfobulbus_oralis	0	0.0	0.04672	0.0	0.0	0.0295	0.02145	0.75795	0.23003	0.35704	1.00167	0.0	0.0	0.0	0.0	0.17073	0.00169	0.43371	0.30459	0.0	0.0	0.02047	0.18633	0.0	0.0	0.0	0.0	0.01566	0.0	0.0	0.0	0.0	0.0	1.01548	0.10903	0.0085	0.0	1.54452	0.41674	0.0	0.0	0.93171	0.38745	0.33116	0.00396	0.42476	1.84421	0.01988	0.02222
s__Prevotella_buccae	0	0.0	0.04576	0.29328	0.00885	0.02083	0.0	0.0	0.0	0.0128	0.0	0.0	0.0	0.0	0.0	0.14822	0.0	0.00329	0.0	0.00229	0.0	0.00585	0.02134	0.00101	0.00417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00045	0.0	0.0	0.0	0.0	0.10393	0.0	0.0	0.02273	0.11166	0.0176	0.09162
s__Porphyromonas_catoniae	0	0.0	0.02673	0.0	0.0	0.0	0.0	0.49912	0.24038	0.13396	0.22199	0.00197	0.00763	0.01081	0.0	0.16399	0.20778	0.03503	0.14801	1.16589	4.29022	0.0	0.09468	0.0	0.0	0.0	0.0	0.0	0.0	0.09815	0.21959	2.40602	0.49386	0.0	0.15276	0.0	0.0	0.0	0.98731	0.08811	0.06573	0.0005	0.30146	0.1274	0.33876	0.01365	0.02593	2.16434	0.10385
s__Anaerolineaceae_bacterium_oral_taxon_439	0	0.0	0.01806	0.0	0.0	0.0	0.0	0.61765	0.26218	0.36124	0.38513	0.0	0.0	0.0	0.0	0.0722	0.0	0.06438	0.17353	0.0	0.0	0.0	0.12067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.60203	0.1455	0.11584	0.0	0.05561	0.00954	0.0	0.0	0.15953	0.00658	0.00778	0.00444	1.26798	1.27642	0.07062	0.01302
s__Parvimonas_sp_oral_taxon_110	0	0.0	0.01526	0.01229	0.00035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00292	0.03891	0.00106	0.00292	0.0	0.0	0.00347	0.0	0.01413	0.0	0.0	0.0	0.0	0.0	0.05782	0.0	0.0	0.0	0.0	0.0	0.0	0.00285	0.00196	0.03664	0.00153	0.01291	0.30563	0.0	0.41736	0.03142	0.0	0.0	0.0	0.00943
s__Pseudoramibacter_alactolyticus	0	0.0	0.01522	0.0	0.0	0.0103	0.12649	0.249	0.03956	0.1542	0.46409	0.0	0.0	0.0	0.0	0.0207	0.0	0.00126	0.0	0.0	0.0	0.0	0.02063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12649	0.01768	0.19281	0.0	0.0	0.0	0.00286	0.0	0.0	0.0	0.0	0.0	0.07837	0.18122	0.0155	0.0
s__Prevotella_salivae	0	0.0	0.0055	0.1753	0.00616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77565	0.0	0.0	0.41364	0.49464	0.08555	0.00774	0.02522	0.00724	0.0	0.0	0.03266	0.0	0.0031	0.0004	0.0	0.0	0.06335	0.05967	0.0	0.0	0.00651	0.0	0.0	0.0	0.0	0.0	0.5789	0.00043	0.0	0.34828	0.0	0.0108	0.0	0.0	0.0	0.0
s__Streptococcus_pseudopneumoniae	0	0.0	0.0053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00228	0.00355	0.00359	0.0	0.0	0.01167	0.0	0.0	0.00628	0.0	0.0	0.0	0.00541	0.00115	0.0	0.0	0.0	0.0072	0.0	0.0	0.0162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Neisseria_subflava	0	0.0	0.0039	0.0	0.07571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00785	0.0	0.0	0.0	0.07519	0.00892	0.0	0.19765	0.04699	0.0	0.0	0.02564	0.0	0.39043	0.11715	2.66235	0.3612	0.0	0.0	0.0	0.0	0.0	0.01002	0.0	0.00244	0.03567	0.0	0.00598	0.0	0.01189	0.0	0.0	0.0	0.0	0.0	0.0	0.0
