clade_name	NCBI_tax_id	SAM_01	SAM_02	SAM_03	SAM_04	SAM_05	SAM_06	SAM_07	SAM_08	SAM_10	SAM_11	SAM_12	SAM_13	SAM_14	SAM_15	SAM_16	SAM_17	SAM_18	SAM_19	SAM_20	SAM_21	SAM_22	SAM_23	SAM_24	SAM_25	SAM_26	SAM_27	SAM_28	SAM_29	SAM_30	SAM_31	SAM_32	SAM_33	SAM_34	SAM_35	SAM_36	SAM_37	SAM_38	SAM_39	SAM_40
s__Lactobacillus_pontis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactobacillus_plantarum	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00782	0.0	0.0	0.00208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_copri	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00436	0.0	0.0026	0.0	36.81937	0.0	0.0	0.0	1.23773	0.0	0.0018	0.0	0.0	0.0	0.0	0.00235	0.0	0.0	0.0	0.0	0.0	0.00119	0.0	0.0	0.00444	0.00099	0.0	0.0
s__Terrisporobacter_othiniensis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactobacillus_vaginalis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00212	0.0	0.0	0.0	0.0	0.0	0.0	0.0061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_MSTE9	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lachnoclostridium_sp_An118	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00289	0.0	0.0	0.0	0.0	0.00191	0.0	0.0	0.0	0.0
s__Lactobacillus_paragasseri	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.12954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Parabacteroides_goldsteinii	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.13489	0.0	0.0	0.0	0.25066	0.0	0.0	0.0	1.63259	0.0	0.03937	0.7596	0.0	0.0	0.01297	0.00531	1.97811	0.30073	0.0	0.0	1.28615	0.0	0.0	0.0	0.63273	1.00964	0.0
s__Alistipes_inops	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69649	0.0	0.0	0.0	0.0	0.05147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0647	0.05545	0.0	0.0	0.11386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_bifidum	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42646	0.81922	0.65027	0.0	0.12508	0.0	0.0	0.0	0.0	2.9527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Alistipes_timonensis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08978	0.0	0.0	0.0	0.0	0.0	0.0	0.00435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Citrobacter_youngae	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03835	0.0	0.0	0.0	0.0	0.0016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Citrobacter_pasteurii	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_lutetiensis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Campylobacter_concisus	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00274
s__Methanobrevibacter_smithii	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00164	0.0	3.25549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18866	0.0	0.0	0.0	0.0	0.56217	0.0	0.33906	0.01806	0.22575	0.54236	0.0	0.0	0.0	0.62975	0.0
s__Ruminococcus_callidus	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20169	0.0	0.08927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_ventriosum	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18044	0.0	0.22113	0.0	0.02024	0.0	0.62667	0.0	0.0	0.0	0.0	0.0	0.0	0.75143	0.55411	0.17325	0.0	0.03283	0.0	0.04163	0.0	0.0	0.21547	0.03169	0.39156	0.0
s__Faecalicatena_orotica	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Enterococcus_faecium	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.76082	0.0	0.0	0.0	0.40709	0.0	0.0	0.0	0.03934	0.0	0.0	0.07583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactobacillus_ruminis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_catenulatum	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Leuconostoc_pseudomesenteroides	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
