clade_name	NCBI_tax_id	H1	H10	H11	H12	H13	H14	H15	H16	H17	H18	H19	H2	H20	H21	H22	H23	H24	H25	H26	H27	H3	H4	H5	H6	H7	H8	H9	IT1	IT11	IT13	IT14	IT2	IT3	IT4	IT5	IT6	IT7	IT8
s__Clostridium_sp_CAG_167	0	0.04234	0.01626	0.0	0.0	0.0	0.0	0.41379	0.0	0.80786	0.0	0.01922	0.09977	0.1029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01536	0.0	0.04617	0.01988	0.0	0.0	0.35001	0.0	0.0	0.0	0.0	0.04014	0.0	0.0	0.0	0.0	0.04572	0.0
s__Coprococcus_comes	0	0.04193	0.09328	0.10141	0.03959	0.08829	0.09864	0.11027	0.23124	0.43689	0.0538	0.0	0.82534	0.10594	1.14598	0.47416	0.2054	0.35297	0.2783	0.70279	0.0	0.31523	0.74921	0.66132	0.41781	0.00357	0.27076	0.04442	1.99181	0.78354	0.34287	1.21049	0.30665	1.0815	1.15839	0.47799	2.01911	0.06416	6.94861
s__Butyrivibrio_crossotus	0	0.02978	0.0	0.0	0.0	0.0	0.0	0.35897	0.59444	0.91808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.10181	10.75691	0.0	0.07139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_torques	0	0.02646	0.23027	0.17699	0.20234	1.06776	0.75884	1.0059	1.33598	1.56626	2.00029	0.19566	0.97225	0.0348	2.88389	1.13659	0.76238	1.00007	0.53047	1.40862	0.19461	1.21203	1.33545	0.30222	1.17979	0.36093	0.01018	0.40336	1.56325	1.80976	1.73897	0.22823	0.56	0.0	0.85996	4.55756	0.60026	0.29229	1.77722
s__Roseburia_sp_CAG_471	0	0.02474	0.18485	0.19616	0.17799	0.09454	0.0923	0.0	0.01212	0.11028	0.06791	0.00138	0.16569	0.05695	0.17945	0.1465	0.05039	0.17366	0.12003	0.33873	0.0	0.19478	0.01262	0.01652	0.72285	0.0	0.0	0.0	0.0	0.00957	0.0	0.0	0.10849	0.00165	0.0	0.0	0.0	0.0	0.01454
s__Ruminococcus_sp_CAG_330	0	0.02292	0.14696	0.17577	0.11862	0.0	0.0	0.0	0.3789	0.02325	0.0	0.0	0.0	0.01721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Dorea_formicigenerans	0	0.0193	0.10872	0.13954	0.04358	0.23073	0.14588	0.3634	0.23193	0.63482	0.43461	0.02284	0.47942	0.13127	0.14725	0.34822	0.10427	0.13633	0.08247	0.38921	0.0	0.32912	1.68923	0.18525	0.40856	0.08874	0.56834	0.1648	1.02105	0.4759	0.99313	0.03852	0.48844	0.48849	0.38302	0.76201	0.52553	0.30428	0.531
s__Dorea_longicatena	0	0.01777	0.10802	0.11289	0.08365	0.142	0.13605	0.23128	0.26145	0.97516	0.72529	0.009	0.79171	0.0	0.02935	0.0	1.00467	0.75775	0.0	0.0	0.0	0.15311	0.07502	0.88548	0.04918	0.11433	0.38935	0.32095	0.18025	1.10727	2.91686	0.34209	0.31682	0.54973	0.82631	2.88307	0.83606	0.70488	0.67397
s__Slackia_isoflavoniconvertens	0	0.01672	0.081	0.09633	0.08392	0.20855	0.52831	0.10479	0.13473	0.32417	0.07442	0.04506	0.38681	0.1374	0.9773	1.4572	0.12071	0.50552	2.49906	1.13571	0.77237	0.09318	0.06793	0.0	0.0	0.0	0.0	0.0554	0.0	0.07381	0.0	0.0	0.22694	0.0	0.24662	0.0	0.0	0.0	0.0
s__Holdemanella_biformis	0	0.016	0.04402	0.0904	0.02557	1.03116	0.4988	0.46443	4.30026	0.87995	0.6417	0.02676	0.0	0.14016	1.52236	0.58421	0.02028	0.01789	0.15133	0.99652	0.04748	0.06731	0.34654	0.01616	2.54669	0.0	0.1235	0.17071	0.0	0.02307	2.92073	0.0	0.0	0.0	0.25139	0.0	0.0	0.0	0.0
