clade_name	NCBI_tax_id	SAMEA1966431	SAMEA2017457	SAMEA2017458	SAMEA2017459	SAMEA2017460	SAMEA2055106	SAMEA2055107	SAMEA2055108	SAMEA2055109	SAMEA2055266	SAMEA2055267	SAMEA2055268	SAMEA2055269	SAMEA2055272	SAMEA2055273	SAMEA2055274	SAMEA2055275	SAMEA2055276	SAMEA2055277	SAMEA2055278	SAMEA2055279	SAMEA2055280	SAMEA2055281	SAMEA2055282	SAMEA2055283	SAMEA2055284	SAMEA2055285	SAMEA2055286	SAMEA2055287	SAMEA2055288	SAMEA2055289	SAMEA2055290	SAMEA2055291	SAMEA2055292	SAMEA2055293	SAMEA2055294
s__Bacteroides_galacturonicus	0	0.0	0.0	0.0	0.0	0.0	0.01977	0.0	0.0	0.0	0.02827	0.0	0.0	0.0	0.0	0.0	0.00963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03966	0.03358	0.12028	0.0	0.0	0.0
s__Actinomyces_odontolyticus	0	0.0	0.0	0.0	0.0	0.0	0.01939	0.0	0.0	0.0	0.046	0.0	0.00289	0.0	0.0	0.0	0.03409	0.00052	0.0	0.0	0.0	0.0	0.00368	0.0	0.0	0.00237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00206	0.0	0.0	0.0
s__Mogibacterium_diversum	0	0.0	0.0	0.0	0.0	0.0	0.01729	0.0	0.0	0.0	0.00144	0.0	0.0	0.0	0.0	0.0	0.01008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00127
s__Firmicutes_bacterium_CAG_534	0	0.0	0.0	0.0	0.0	0.0	0.01723	0.50172	0.0	0.0	0.0	0.0	0.13608	1.99183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Butyricimonas_virosa	0	0.0	0.0	0.0	0.0	0.0	0.01646	0.02839	0.0	0.00783	0.04136	0.0	0.01502	0.02028	0.00034	0.00607	0.0	0.0	0.0	0.0	0.0	0.0	0.12186	0.05847	0.11959	0.26814	0.19967	0.00231	0.03156	0.07517	0.06982	0.04216	0.01162	0.0	0.0	0.06108	0.02157
s__Allisonella_histaminiformans	0	0.0	0.0	0.0	0.0	0.0	0.01168	0.0	0.0	0.0	0.00772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03007	0.0	0.00238	0.0	0.0	0.0	0.05549	0.0	0.06737	0.06276	0.0	0.00927	0.01665	0.0
s__Butyricimonas_synergistica	0	0.0	0.0	0.0	0.0	0.0	0.00951	0.0	0.0	0.0	0.0	0.0	0.01159	0.02103	0.0	0.0219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02539	0.05509	0.15648	0.06468	0.00673	0.06389	0.0	0.0	0.11038	0.01499	0.0	0.0	0.0	0.06837
s__Firmicutes_bacterium_CAG_170	0	0.0	0.0	0.0	0.0	0.0	0.00933	0.52805	0.0	0.0	0.0	0.0	0.02897	0.09103	0.0	0.0	0.0	0.0	0.0	0.0	0.01756	0.01976	0.0	0.10335	0.65725	0.02058	0.0	0.02013	0.01327	0.0	0.0	0.0	0.0	0.0	0.0	0.05359	0.0
s__Streptococcus_oralis	0	0.0	0.0	0.0	0.0	0.0	0.00901	0.0	0.0	0.0	0.06162	0.0	0.0	0.0	0.0	0.0	0.0164	0.0	0.0	0.0	0.0	0.0	0.32403	0.0	0.0	0.0	0.0	0.0	0.0	0.01125	0.0	0.00582	0.0	0.0	0.0	0.0	0.0
s__Lactobacillus_fermentum	0	0.0	0.0	0.0	0.0	0.0	0.00819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
